lead_id,email,first_name,last_name,created_at,input_channel,source_category,channel_derived,course_type_derived
9e5068ff-c01f-4eab-bb38-214fb9d6b83d,ktytcomb0@sina.com.cn,Kristan,,2025-05-28,web_organic,organic,web,unknown
6e103a09-c824-45c4-a29a-4be38d7bb2eb,ggeldert1@skyrock.com,Galina,Geldert,2025-05-24,web_organic,organic,web,unknown
95d9f881-6af6-47a3-a656-cba3135f7f2b,lmorales2@multiply.com,Lynn,Morales,2024-06-08,campaign_003,paid_campaign,googleads,selectividad
18036b65-9742-4973-9486-4102725bd84e,cflanaghan3@yolasite.com,Courtnay,Flanaghan,2024-09-09,campaign_008,paid_campaign,meta,fp
b778e4f5-3ffb-42b4-be7c-79788c7f44a6,rpellingar4@google.com.hk,Rorie,Pellingar,2025-04-01,web_organic,organic,web,unknown
e2600f12-37ef-4613-ac54-ff2efe1e96b3,ethexton5@comsenz.com,Esme,Thexton,2025-01-12,campaign_006,paid_campaign,googleads,opos
23d790d2-bb7f-4ddc-a884-abba7a021f52,aferney6@xrea.com,Audry,Ferney,2025-02-22,,unknown,unknown,unknown
45839e9c-fda3-4545-9eb6-4b88537501e5,kgritsaev7@hhs.gov,Kynthia,Gritsaev,2024-09-09,campaign_002,paid_campaign,meta,selectividad
65d0eeeb-2651-42eb-9ad7-67820f91a0e4,taugur8@ebay.co.uk,Tani,,2024-07-11,campaign_001,paid_campaign,tiktok,selectividad
8957d7c3-79f4-4e1f-a033-d0ed62c36ced,gosesnane9@163.com,Gerrard,O'Sesnane,2025-02-25,campaign_008,paid_campaign,meta,fp
91283ee6-f99f-40eb-8ab8-67145de56c2e,zshewrya@cargocollective.com,Zachariah,Shewry,2024-07-30,campaign_005,paid_campaign,meta,opos
aef68455-74fa-4d39-bac5-0f91323ff0a9,athornbarrowb@exblog.jp,Aretha,Thornbarrow,2024-08-20,campaign_002,paid_campaign,meta,selectividad
1ee71ff1-8f98-41fa-a92c-5ba0ae391e0c,ckochlinc@ucoz.com,Carson,Kochlin,2025-01-02,campaign_003,paid_campaign,googleads,selectividad
4fa718e7-4ab9-4712-87b0-858b8175a538,tdomand@addthis.com,Trumann,Doman,2024-11-22,campaign_007,paid_campaign,tiktok,fp
6cb15d9b-704f-4c46-896e-cffc057a0cdb,nmeneoe@1und1.de,Neala,Meneo,2025-05-14,campaign_008,paid_campaign,meta,fp
7b1997ca-c32a-4909-a920-6e4b966e36d9,mglidef@go.com,Malissa,Glide,2024-12-22,ref_partner,partner,referral,unknown
23266933-b0f5-40f2-9025-94d58cb9dda9,fmethingamg@fda.gov,Franchot,Methingam,2024-10-27,campaign_004,paid_campaign,tiktok,opos
23509600-2a7f-4785-ad4b-87964d9b9a1b,mrisomh@php.net,Mathias,Risom,2024-12-13,ref_partner,partner,referral,unknown
bf0d65d5-3c79-438d-bd68-4075fc1c77f2,aleatherbarrowi@google.fr,Alvinia,Leatherbarrow,2024-11-03,web_organic,organic,web,unknown
1f0f13df-bb80-4adf-8f1f-d66a2857b506,pcanasj@vk.com,Pauli,Canas,2024-09-15,campaign_006,paid_campaign,googleads,opos
2f8a81e1-6efc-4879-8f02-099b0067fae7,swhissonk@netscape.com,Sheilakathryn,Whisson,2024-07-03,ref_partner,partner,referral,unknown
2bff5163-0475-4732-8219-efc98bbb65be,gwhistancel@trellian.com,Georgianne,Whistance,2024-08-21,campaign_006,paid_campaign,googleads,opos
a3f437d4-db15-4857-a8b1-712755f7ed3e,lkruszelnickim@bbc.co.uk,Lorne,Kruszelnicki,2025-05-24,campaign_002,paid_campaign,meta,selectividad
ed5c044b-8d5d-4a9b-9b02-6bbf365bde9a,odignonn@wp.com,Odilia,Dignon,2024-10-22,campaign_008,paid_campaign,meta,fp
60e993a5-4e1a-4641-b1e8-eeaf9b8b55fb,gtoppingo@cbsnews.com,Gar,Topping,2024-07-18,campaign_002,paid_campaign,meta,selectividad
c3485bac-c896-4cb8-b271-d838b0890cc8,sluffmanp@redcross.org,Shara,Luffman,2024-09-10,campaign_007,paid_campaign,tiktok,fp
d87f15eb-c6c3-414a-a62f-7b362d1aceaf,afitzgeorgeq@list-manage.com,Aileen,FitzGeorge,2025-04-28,campaign_002,paid_campaign,meta,selectividad
6728d885-6122-4b5f-a9f1-24b2d5e9d9be,mwattishamr@businessweek.com,Marybelle,,2024-06-26,campaign_007,paid_campaign,tiktok,fp
745452ad-9fe4-4578-b7b4-f0793ef2c4b1,dcramphorns@skype.com,Donavon,Cramphorn,2024-06-27,campaign_005,paid_campaign,meta,opos
6e9200d4-0700-4aac-b24f-0bf7443c3559,dblancht@hud.gov,Dennet,Blanch,2024-12-01,,unknown,unknown,unknown
1e925295-b4ab-4965-9993-8d112e60ab84,aboullenu@google.fr,Aristotle,Boullen,2025-02-03,campaign_007,paid_campaign,tiktok,fp
19238ad4-e850-4100-845d-8ca9a891b3ff,ffigliovanniv@kickstarter.com,Farlay,Figliovanni,2024-09-04,campaign_002,paid_campaign,meta,selectividad
3ad568a3-6f30-4129-9463-c5f1cd883051,rrickassew@nyu.edu,Rees,Rickasse,2024-09-22,campaign_008,paid_campaign,meta,fp
7220c952-8413-4e61-91ca-34c08ff0c64c,jshaddickx@is.gd,Jacquelyn,Shaddick,2025-04-13,campaign_002,paid_campaign,meta,selectividad
a2d80de4-33b9-487c-8111-498c7e925132,acomelliy@xinhuanet.com,Annmarie,Comelli,2024-07-16,campaign_006,paid_campaign,googleads,opos
14e25274-a8b1-4e71-85fb-7ea81b26713c,ecallcottz@nasa.gov,Elaine,Callcott,2024-12-16,campaign_001,paid_campaign,tiktok,selectividad
c6b7ed6c-0d28-478b-ae73-50d84e15b0f6,nkarchowski10@un.org,Nesta,Karchowski,2024-06-13,campaign_002,paid_campaign,meta,selectividad
ac83a18a-259b-4e3e-9dc7-59d33060f97e,adrayson11@usnews.com,Auria,Drayson,2024-08-05,web_organic,organic,web,unknown
63b526dd-0a69-484d-bb83-b7623b1b5d14,pbeckey12@hp.com,Priscella,Beckey,2024-07-19,campaign_004,paid_campaign,tiktok,opos
25729581-730f-40ab-ac61-610b02c1eb51,cborrill13@washingtonpost.com,Christina,Borrill,2025-02-12,campaign_003,paid_campaign,googleads,selectividad
8c8db6b5-ac00-4028-bd7d-9dd30556da1f,dbollum14@narod.ru,Dew,Bollum,2024-12-24,campaign_007,paid_campaign,tiktok,fp
97494a75-4c92-4670-8bb6-6ec159c4127c,jbracco15@myspace.com,Jephthah,Bracco,2024-07-02,campaign_002,paid_campaign,meta,selectividad
5ed13a79-3da9-4cda-b4dd-36f17e78734d,chuey16@time.com,Camala,Huey,2025-01-22,ref_partner,partner,referral,unknown
342d6970-e957-456f-82cd-8faec178c7d0,sgaineofengland17@hhs.gov,Stevie,Gaine of England,2025-03-12,campaign_002,paid_campaign,meta,selectividad
aa2b39ca-37db-4ecb-8f99-060a041d5cc0,jbettles18@google.nl,John,Bettles,2025-04-06,campaign_007,paid_campaign,tiktok,fp
a2c0f957-8723-407a-a4c0-ac74887cd0cf,ybroe19@bbc.co.uk,Yevette,Broe,2025-03-19,campaign_002,paid_campaign,meta,selectividad
08695700-3886-4275-94a0-9deece74f9ca,ajerrems1a@sun.com,Arnold,Jerrems,2024-12-04,,unknown,unknown,unknown
0a115e38-d175-4465-8499-62eeb297c0ea,paubury1b@ucsd.edu,Parry,Aubury,2024-09-15,campaign_005,paid_campaign,meta,opos
18e57e9d-a8ec-479a-b24e-7f3075977f90,bcharleston1c@studiopress.com,Barris,Charleston,2024-09-09,campaign_003,paid_campaign,googleads,selectividad
cc4d015f-b346-4bcd-908d-1282da8bd96b,kfifoot1d@soup.io,Kippy,Fifoot,2024-07-17,campaign_003,paid_campaign,googleads,selectividad
a37cac19-057c-4c0f-b250-ff0171d2978c,hjarret1e@geocities.com,Hartley,Jarret,2025-02-20,campaign_004,paid_campaign,tiktok,opos
02c1bcc9-edb8-4d1e-bb5a-5ba6fcf0dc6d,wsibbald1f@tamu.edu,Wildon,Sibbald,2025-03-22,campaign_004,paid_campaign,tiktok,opos
66c5ecba-4e5f-41b1-b0b8-f0f9a54983f5,rosuaird1g@miibeian.gov.cn,Reagan,,2024-07-22,campaign_001,paid_campaign,tiktok,selectividad
fc9e0071-4458-4316-a167-720e51ae60cf,cbeggin1h@diigo.com,Charmion,Beggin,2024-07-03,campaign_004,paid_campaign,tiktok,opos
5b719517-8293-455c-9e8c-a4ec8e7479e8,mbickmore1i@mozilla.org,Moreen,Bickmore,2024-08-03,campaign_003,paid_campaign,googleads,selectividad
01440a52-c237-468b-91ab-3815198f0565,jibbotson1j@tinyurl.com,Jewelle,Ibbotson,2024-09-10,ref_partner,partner,referral,unknown
367fe17b-4ad2-4de3-be6f-34a25f8b9187,ebranford1k@discovery.com,Emmye,,2024-09-06,campaign_005,paid_campaign,meta,opos
ef5b767f-550c-49bc-8607-b3eda233bbfc,lreames1l@ca.gov,Luke,Reames,2024-08-03,campaign_004,paid_campaign,tiktok,opos
bf06c032-a59f-4aa8-b623-86a34e5ade08,gloveard1m@state.tx.us,Goraud,,2024-09-13,campaign_008,paid_campaign,meta,fp
156b44aa-f257-4ad3-8c50-5d544c771bbd,avanbruggen1n@seattletimes.com,Andrea,Van Bruggen,2024-12-05,campaign_003,paid_campaign,googleads,selectividad
5a3cd4ca-67bb-4ff3-8272-896989fda589,klundbeck1o@1und1.de,Karly,,2025-03-23,campaign_005,paid_campaign,meta,opos
4fe2c23b-475a-4ce4-b11d-7fc698b13623,raimson1p@storify.com,Renado,Aimson,2024-10-31,campaign_006,paid_campaign,googleads,opos
f758441e-6af3-4cad-8d18-f1727d6a161d,jzupo1q@army.mil,Jordan,Zupo,2024-12-16,,unknown,unknown,unknown
77f810a6-5c45-4494-b9bf-bd997ac283fe,mcassy1r@upenn.edu,Meggie,Cassy,2025-03-13,campaign_008,paid_campaign,meta,fp
a80340ff-d3e3-40e4-a1f3-48c5bc1d0bea,bprew1s@google.ca,Blaire,Prew,2025-04-25,campaign_002,paid_campaign,meta,selectividad
d3fa4654-b3f8-4389-ba29-fde2698a7820,gwithrop1t@examiner.com,Gare,Withrop,2024-07-17,ref_partner,partner,referral,unknown
333e834c-b59b-49ef-8732-c3ce01f2cb19,tfeatonby1u@geocities.jp,Timothea,Featonby,2024-07-28,campaign_005,paid_campaign,meta,opos
7952ac50-ce0b-48cd-923f-43f7404293be,jponton1v@mozilla.com,Joanne,Ponton,2024-12-19,campaign_006,paid_campaign,googleads,opos
214b9840-1fbd-4330-ae04-7c7b7cd154de,cohalloran1w@ow.ly,Clay,O'Halloran,2024-07-18,campaign_005,paid_campaign,meta,opos
fc7e2191-4733-4e22-9597-da5ba080e1c7,cklosterman1x@reuters.com,Cherise,Klosterman,2025-03-29,ref_partner,partner,referral,unknown
04af3d2c-56a3-4c5a-b79d-cffb31c320b1,mhallihane1y@hibu.com,Mariette,Hallihane,2025-01-01,campaign_004,paid_campaign,tiktok,opos
e52f6dd2-1c3a-426d-a093-1ae7953022f7,sshackelton1z@xinhuanet.com,Saloma,Shackelton,2024-08-29,campaign_007,paid_campaign,tiktok,fp
253f811d-72e0-4ef7-a903-3ed2fa1fee9d,dpetters20@privacy.gov.au,Drona,,2025-03-19,campaign_004,paid_campaign,tiktok,opos
90957bec-6d7f-4bcf-9ac7-f2de797ba96c,ioloughran21@macromedia.com,Irwin,,2024-10-12,ref_partner,partner,referral,unknown
011d76a3-0a9f-4f51-a1cf-8f52fe539176,veva22@prweb.com,Vernon,Eva,2025-02-05,campaign_006,paid_campaign,googleads,opos
4611890c-f015-4adc-a5c9-2ccb785bef86,cgomm23@washington.edu,Corly,Gomm,2024-07-15,campaign_008,paid_campaign,meta,fp
930b1fc0-f70c-4258-b3ae-a9c49a1e1910,ejeffry24@unicef.org,Elly,Jeffry,2025-03-09,campaign_002,paid_campaign,meta,selectividad
6119123d-bb07-4ac7-aff5-cd443ec2881a,vfranca25@ebay.co.uk,Viki,Franca,2025-05-17,campaign_003,paid_campaign,googleads,selectividad
796e9fa0-852a-4696-b2b2-ef127b492123,slethieulier26@yolasite.com,Shaylah,Lethieulier,2025-06-01,campaign_004,paid_campaign,tiktok,opos
6853081c-611f-4451-a61f-848dfcc03fa6,nlissandri27@acquirethisname.com,Nelli,Lissandri,2025-02-21,campaign_005,paid_campaign,meta,opos
045927b3-96db-477d-8172-060806837f71,jwase28@nymag.com,Jeffy,Wase,2024-11-03,campaign_003,paid_campaign,googleads,selectividad
d9e73806-3253-473b-88a1-27f22a9ca17f,gbowra29@ft.com,Gavan,Bowra,2025-02-16,campaign_006,paid_campaign,googleads,opos
c4b0820f-cbca-4224-a5ac-69a08ea72751,jwerner2a@jugem.jp,Jeanie,Werner,2024-09-19,campaign_005,paid_campaign,meta,opos
124d898a-88ee-4e34-8214-4b6a48dd74dd,edelamaine2b@soup.io,Emlen,Delamaine,2025-05-31,campaign_005,paid_campaign,meta,opos
5db52f88-7ef4-4f95-8ec7-14d7857369d7,rtarge2c@mlb.com,Raymond,Targe,2025-05-27,campaign_007,paid_campaign,tiktok,fp
f6c96dd8-dcc8-4dd5-ae73-dc56900edfa1,dwordesworth2d@vkontakte.ru,Dagmar,Wordesworth,2024-12-05,campaign_002,paid_campaign,meta,selectividad
75643876-deff-4d87-a41a-bbd440f2cda2,cfilimore2e@icq.com,Clemmie,Filimore,2025-05-25,web_organic,organic,web,unknown
2a9808f4-d94d-457c-8f00-21263e5a8759,cstolli2f@google.pl,Clarence,Stolli,2025-01-22,campaign_005,paid_campaign,meta,opos
2370cdae-a045-481f-b367-5c64578426a7,gdellorto2g@angelfire.com,Glennie,Dell 'Orto,2025-05-24,campaign_004,paid_campaign,tiktok,opos
424d04fb-4f9c-4537-b5a2-074cdb09fe01,jnerney2h@vimeo.com,Jeri,Nerney,2024-07-15,campaign_002,paid_campaign,meta,selectividad
58b76fe0-1dd6-49ba-9d2b-ca80bd53496d,ssucre2i@biblegateway.com,Sharona,Sucre,2024-06-30,campaign_003,paid_campaign,googleads,selectividad
34354368-31ee-4836-b43c-dffdbb5d66ad,skinvig2j@globo.com,Shelby,Kinvig,2024-12-12,campaign_003,paid_campaign,googleads,selectividad
b106ec4b-1485-4733-897d-2cbef38d5165,dambroziak2k@clickbank.net,Darryl,Ambroziak,2024-11-11,campaign_004,paid_campaign,tiktok,opos
7329d309-2972-4514-8920-2b844205b37d,rfarncombe2l@youtu.be,Roarke,,2025-03-19,campaign_007,paid_campaign,tiktok,fp
ad2ede8d-a277-471f-9678-4977fd4eff26,wpease2m@soundcloud.com,Washington,Pease,2024-07-10,web_organic,organic,web,unknown
071a4d3e-8f89-4f2e-92d8-1cbe690b9ac8,abullivent2n@irs.gov,Alison,Bullivent,2025-03-11,campaign_006,paid_campaign,googleads,opos
95cecdb9-fcb7-4f1c-8fc7-2686284f9c0f,cbarkley2o@furl.net,Constance,Barkley,2025-02-02,campaign_006,paid_campaign,googleads,opos
33affd05-3954-47ca-bab6-1a72947cd0a7,egreenhowe2p@aboutads.info,Elise,Greenhowe,2024-07-16,campaign_004,paid_campaign,tiktok,opos
f0be482b-8f5b-4ca6-b6d3-b27d52d44c1b,cglascott2q@economist.com,Chad,Glascott,2025-03-06,campaign_003,paid_campaign,googleads,selectividad
dc5de52d-485b-4f9c-a766-36ce38ea441e,ipittford2r@washington.edu,Isaac,Pittford,2024-06-26,campaign_004,paid_campaign,tiktok,opos
1aa38c54-c4e0-45ce-8516-fd6037e8c1aa,cbroomhead2s@studiopress.com,Coriss,Broomhead,2025-01-14,campaign_007,paid_campaign,tiktok,fp
49960dfa-7a6f-4f2f-b5f9-831a5c7ae54f,oharmon2t@gizmodo.com,Odilia,,2025-01-29,campaign_002,paid_campaign,meta,selectividad
55eac3f5-e047-48b8-9bdd-8b92d02a70ef,sdemoreno2u@youtu.be,Sayers,De Moreno,2024-08-02,campaign_008,paid_campaign,meta,fp
8f101646-b767-4edf-b8dd-6ace42e651ac,apriter2v@wunderground.com,Addie,Priter,2024-09-15,campaign_006,paid_campaign,googleads,opos
cb9c4a02-6c31-43fe-b4bc-a1b68c6f8dbf,nvequaud2w@webnode.com,Normy,Vequaud,2025-03-16,web_organic,organic,web,unknown
5db761b5-fd24-439e-b47b-73f3d6c98b6b,pbridgnell2x@sphinn.com,Parke,Bridgnell,2024-08-04,campaign_001,paid_campaign,tiktok,selectividad
2858c439-4e5a-489d-be2d-9aeb36083009,ahallwood2y@vkontakte.ru,Anabel,Hallwood,2024-10-23,web_organic,organic,web,unknown
769aa8e4-d5c1-4d2a-a6ff-45a7b93d8a8d,ddownes2z@deliciousdays.com,Deerdre,Downes,2024-09-01,campaign_008,paid_campaign,meta,fp
a7ced4a1-865e-497b-807e-e5812645fabc,sspuner30@google.co.jp,Saidee,Spuner,2025-04-10,campaign_005,paid_campaign,meta,opos
ae35be7e-2a3b-4e0c-be40-0da3408a9db7,cgateland31@dion.ne.jp,Cindie,Gateland,2024-08-08,campaign_006,paid_campaign,googleads,opos
6555d0e5-86a2-4305-8572-5225dfc8c52f,lthreadgall32@devhub.com,Laurie,Threadgall,2024-10-31,campaign_003,paid_campaign,googleads,selectividad
c5b3cee1-6236-44a6-8c50-80937baea1e9,ybalkwill33@taobao.com,Yanaton,Balkwill,2024-08-02,campaign_002,paid_campaign,meta,selectividad
7d6ebdd8-cd5a-4269-8e3b-f7274750c2e0,gvarcoe34@cocolog-nifty.com,Griffin,Varcoe,2024-09-20,campaign_002,paid_campaign,meta,selectividad
8eb1d406-73c7-4627-9fdf-aaafc1405db4,cmarlor35@vk.com,Cindelyn,Marlor,2025-02-10,,unknown,unknown,unknown
a23654d7-3428-45b6-bd18-b244ad034095,sdevaney36@wiley.com,Sigvard,Devaney,2024-12-07,campaign_007,paid_campaign,tiktok,fp
b99e5af3-4075-49c1-bd4a-59363ec809c3,jwendover37@gnu.org,Janela,Wendover,2024-11-10,campaign_005,paid_campaign,meta,opos
b2a79e04-b81b-422f-8924-d5adadb93913,mdowdle38@mit.edu,Maiga,Dowdle,2025-01-20,web_organic,organic,web,unknown
f3b88c57-8557-4661-ae1d-c3ea89f751e8,bmclaine39@yolasite.com,Betty,McLaine,2025-01-17,campaign_007,paid_campaign,tiktok,fp
90477b64-c4ec-4c7a-8e16-678b91e16058,smamwell3a@naver.com,Selma,Mamwell,2024-09-07,campaign_002,paid_campaign,meta,selectividad
2b2ab38b-9c6d-4558-b8aa-400c2b6621b9,mfazan3b@hugedomains.com,Melisent,Fazan,2025-01-09,campaign_002,paid_campaign,meta,selectividad
5db1ff1a-9090-4c3b-bb0a-bffcbfe4fe01,dlarge3c@g.co,Dawna,Large,2024-06-22,campaign_003,paid_campaign,googleads,selectividad
5cca2a44-0f3d-4bb1-b94d-d9ba5fe8ddd1,elavell3d@moonfruit.com,Estrellita,Lavell,2025-04-04,ref_partner,partner,referral,unknown
